Time,Spot,Expiry,Call_Traded_Qty,Call IV,Call Bid,Call Ask,Call Bid_Qty,Call Ask_Qty,Call LTP,Strike,Put Bid,Put Ask,Put Bid_Qty,Put Ask_Qty,Put LTP,Put IV,Put_Traded_Qty,Moneyness,LogMoneyness,TimeToExpiry,Spread_Call,Spread_Put,Call_IV_Decimal,Put_IV_Decimal,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,RiskFreeRate,XGB_Call_Prediction,XGB_Put_Prediction,BS_Call_Price,BS_Put_Price,Call_Residuals,Put_Residuals
2024-02-02 12:25:00,22052.45,2024-03-28,34,12.83,723.95,728.8,400,400,753.0,21850,310.1,312.65,50,750,307.95,15.82,39,1.0092654462242563,0.009222785289984655,0.1491653357669785,4.849999999999909,2.5499999999999545,0.1283,0.1582,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.073,726.9075742388504,318.01884085679103,686.1566968584793,341.11747939133693,26.09242576114957,-10.068840856791041
2024-02-02 12:25:00,22052.45,2024-02-29,11356,12.32,71.2,71.5,250,2050,71.55,22900,818.65,835.7,50,50,804.5,15.53,30,0.9629890829694323,-0.03771320372861016,0.07250551372727965,0.29999999999999716,17.050000000000068,0.1232,0.1553,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.068,73.95983798859788,819.7830425201719,63.3558293139763,850.8138729034727,-2.409837988597886,-15.283042520171875
2024-02-02 12:25:00,22052.45,2024-02-15,157,17.12,619.45,622.95,400,100,636.95,21550,71.1,71.6,1450,850,71.55,16.15,2225,1.0233155452436196,0.02304789028182709,0.034175602707430225,3.5,0.5,0.17120000000000002,0.16149999999999998,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.093,653.1725788506046,69.73735854520692,649.5324647816196,67.87837014093293,-16.222578850604577,1.8126414547930807
2024-02-02 12:25:00,22052.45,2024-03-28,75,12.38,80.0,81.1,100,50,81.35,23550,1280.5,1363.7,50,50,1285.25,15.24,1,0.9364097664543525,-0.0657021136308429,0.1491653357669785,1.0999999999999943,83.20000000000005,0.12380000000000001,0.1524,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.073,82.27241582327451,1294.911465241068,67.78137177877989,1368.9505887762243,-0.9224158232745197,-9.661465241068072
2024-02-02 12:25:00,22052.45,2024-02-08,450699,14.55,125.0,125.25,1850,1050,125.0,22150,193.9,194.2,200,50,194.0,13.5,92154,0.9955959367945825,-0.004413789659560754,0.015010647197505514,0.25,0.29999999999998295,0.14550000000000002,0.135,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.144,134.07819175860277,184.76825137400556,133.39445197722307,171.88526816630292,-9.07819175860277,9.231748625994442
2024-02-02 12:25:00,22052.45,2024-02-29,8218,13.05,8.05,8.15,100,150,8.2,23800,1620.25,1667.3,50,50,1847.9,34.11,3,0.9265735294117647,-0.07626187384584517,0.07250551372727965,0.09999999999999964,47.049999999999955,0.1305,0.3411,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.068,9.231961175555341,1860.083386268132,6.289580508822553,1893.2089928049973,-1.0319611755553417,-12.183386268131926
2024-02-02 12:25:00,22052.45,2024-02-29,3641,12.22,79.6,79.9,300,50,80.2,22850,773.6,793.65,50,950,746.4,14.47,5,0.9650962800875273,-0.0355274105086299,0.07250551372727965,0.30000000000001137,20.049999999999955,0.1222,0.1447,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.068,81.90281294206079,761.437261069048,70.02881143907007,792.7825712802296,-1.7028129420607883,-15.037261069047986
2024-02-02 12:25:00,22052.45,2024-02-15,13423,13.26,42.6,42.9,1400,1850,42.75,22700,635.8,639.25,50,400,617.85,14.37,18,0.9714735682819383,-0.028941217655773187,0.034175602707430225,0.29999999999999716,3.4500000000000455,0.1326,0.1437,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.093,46.28536534720979,628.0551667664804,41.360971216503,627.865048662261,-3.5353653472097903,-10.205166766480374
2024-02-02 12:25:00,22052.45,2024-03-28,226,12.12,169.8,172.5,300,50,170.1,23050,879.35,962.5,50,50,934.35,19.69,5,0.9567223427331888,-0.044242062611073635,0.1491653357669785,2.6999999999999886,83.14999999999998,0.12119999999999999,0.19690000000000002,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.073,173.74749717658415,1053.6180234486328,146.79292068427458,1118.526989513086,-3.647497176584153,-119.26802344863279
2024-02-02 12:25:00,22052.45,2024-03-28,11,10.59,1188.4,1222.8,50,50,1214.15,21200,151.65,152.25,50,200,151.65,16.52,1697,1.0402099056603773,0.03942252515361699,0.1491653357669785,34.399999999999864,0.5999999999999943,0.1059,0.16519999999999999,12,25,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.073,1194.497240242661,156.6063014536221,1128.415064034165,168.2394744425137,19.652759757339027,-4.956301453622103
